Categoría,Recomendación,Descripción,Dirección ,Ubicación
Cultural,Palacio de Bellas Artes,"Además de ser un lugar para actuaciones en vivo, alberga exposiciones de arte y murales de artistas famosos como Diego Rivera.","Av. Juárez S/N, Centro Histórico de la Cdmx",https://goo.gl/maps/QRpoxKKPECaV4QS37
Culinario,Mercado de San Juan,"Si eres un amante de la comida, este mercado es conocido por su oferta de ingredientes exóticos y platillos gourmet. Para una experiencia auténtica, puedes explorar este mercado y probar diferentes platillos locales.","Av Arcos de Belén 41, Colonia Centro, Centro, Cuauhtémoc, 06070 Ciudad de México, CDMX",https://goo.gl/maps/QPq81MxmZ8n9hDgM7
Vida nocturna,Patrick Miller,Conocido por su música de los 80 y 90 y su ambiente inclusivo.,"Merida 17, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/KttqMT9szj7B3Rov5
Bares,Limantour,Conocido por sus cócteles artesanales y su ambiente elegante.,"Av. Álvaro Obregón 106, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/5JNnNi3efzcgDKd8A
Sightseen,El Zócalo,"La plaza principal de la Ciudad de México, rodeada de edificios históricos como la Catedral Metropolitana y el Palacio Nacional, donde puedes ver murales de Diego Rivera.","C. Reforma 25, Centro Histórico de la Cdad. de México, San Francisco Tlalnepantla, Xochimilco, 16215 Ciudad de México, CDMX",https://goo.gl/maps/htZU4WkDzPdzTjeh8
Sightseen,Chapultepec,"Este gran parque ofrece muchas atracciones, incluyendo el Castillo de Chapultepec, el Museo Nacional de Historia y el Zoológico de Chapultepec.","Miguel Hidalgo, Ciudad de México, CDMX",https://goo.gl/maps/aGZCggDaY46o4bu86
Sightseen,Coyoacán,"Este barrio bohemio es famoso por la Casa Azul, donde vivió Frida Kahlo, y por su vibrante mercado y plazas.",,https://goo.gl/maps/yxSXqNySjUMKQLdc6
Sightseen,Paseo de la Reforma,"Una de las principales avenidas de la ciudad, hogar de monumentos como el Ángel de la Independencia.","Colonia Cuauhtémoc, 06500 Ciudad de México, CDMX",https://goo.gl/maps/aq9Lh2nTRpbi1cEWA
Sightseen,Templo Mayor,"Las ruinas de un importante templo azteca ubicado en el centro de la ciudad, junto a un museo que explica su historia.","Seminario 8, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX",https://goo.gl/maps/Zh7pJEUT8fgzeWdr7
Sightseen,Basilica de Santa María de Guadalupe,"Uno de los sitios religiosos más importantes de México, y un destino importante para los peregrinos católicos.","Fray Juan de Zumárraga No. 2, Villa Gustavo A. Madero, Gustavo A. Madero, 07050 Ciudad de México, CDMX",https://goo.gl/maps/p849r2ppJ8jpT1jc9
Sightseen,Polanco,"Si estás interesado en la alta cocina y las compras de lujo, este barrio es conocido por sus restaurantes elegantes y tiendas de diseñadores.",,https://goo.gl/maps/4pafq45CJB1U6SZD9
Sightseen,Condesa,"La Condesa en Ciudad de México es conocida por sus parques arbolados, arquitectura art déco, cafés modernos y ambiente relajado.",,https://goo.gl/maps/3t8tyEN6taGKYq4E7
Sightseen,Colonia Roma,"La Colonia Roma en Ciudad de México destaca por su arquitectura ecléctica, galerías de arte, restaurantes gourmet y ambiente bohemio.",,https://goo.gl/maps/hjyrjbiKnGxsV11x9
Sightseen,Torre Latinoamericana,"Para obtener una vista panorámica de la ciudad, puedes subir a esta torre icónica.","Eje Central Lázaro Cárdenas 2, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",https://goo.gl/maps/Jba6Fpwg2iKwQBkU8
Sightseen,Xochimilco,"Conocido por sus canales y jardines flotantes, puedes disfrutar de un paseo en una colorida trajinera mientras escuchas música en vivo.",,https://goo.gl/maps/zmGQVeeXrea7Jd6WA
Cultural,Garibaldi,"Para una experiencia más local, puedes visitar la Plaza Garibaldi, famosa por sus mariachis.","Eje Central Lázaro Cárdenas 43, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX",https://goo.gl/maps/mDvAkjMHLQtvYevo7
Cultural,Museo Frida Kahlo (Casa Azul)," La antigua residencia de Frida Kahlo y Diego Rivera, ahora un museo dedicado a la vida y obra de Kahlo.","Londres 247, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX",https://goo.gl/maps/7zpFAQsUcGPPTtjr6
Cultural,Museo Soumaya,"Conocido por su arquitectura moderna y su colección de arte europeo y mexicano, incluyendo muchas obras de Salvador Dalí y Auguste Rodin.","Blvd. Miguel de Cervantes Saavedra, Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX",https://goo.gl/maps/ZAfHK8qQTaLHu54F8
Cultural,Museo Tamayo,Un museo de arte contemporáneo que alberga la colección de Rufino Tamayo y exposiciones temporales de artistas internacionales.,"Av. P.º de la Reforma 51, Polanco, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX",https://goo.gl/maps/CEaL1nYh4farxzFD8
Cultural,Museo Nacional de Arte (MUNAL),Alberga una colección de arte mexicano desde la época colonial hasta el siglo XX.,"C. de Tacuba 8, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",https://goo.gl/maps/6xQHG16iPLqNSpwSA
Cultural,Casa Luis Barragán,"La antigua residencia del arquitecto Luis Barragán, es una obra maestra arquitectónica, famosa por su diseño modernista y uso innovador del color.","Gral. Francisco Ramírez 12, Ampliación Daniel Garza, Amp Daniel Garza, Miguel Hidalgo, 11840 Ciudad de México, CDMX",https://goo.gl/maps/ksKPW5D6m6sdGMvK6
Cultural,Museo Jumex," Uno de los principales museos de arte contemporáneo en México, con una colección enfocada en el arte contemporáneo internacional y mexicano.","Blvd. Miguel de Cervantes Saavedra 303, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX",https://goo.gl/maps/373GgpTnyQyRk6bFA
Cultural,Museo Nacional de Historia (Castillo de Chapultepec),"Ubicado en el Castillo de Chapultepec, este museo ofrece una visión de la historia de México.","Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX",https://goo.gl/maps/8vv8bd5rCCbiXNPV9
Cultural,Museo de Arte Moderno,"Situado en el Bosque de Chapultepec, este museo se enfoca en el arte moderno y contemporáneo de México.","Av. P.º de la Reforma s/n, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX",https://goo.gl/maps/PagzqJLZt5MC5LKd8
Cultural,Museo Universitario Arte Contemporáneo (MUAC),"Parte de la Universidad Nacional Autónoma de México (UNAM), este museo es otro importante centro de arte contemporáneo.","Av. Insurgentes Sur 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX",https://goo.gl/maps/DtCWdHD6qPiAEit47
Culinario,Pujol,"Dirigido por el famoso chef Enrique Olvera, es uno de los restaurantes más reconocidos en México y ofrece una experiencia gastronómica única.","Tennyson 133, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX",https://goo.gl/maps/Rbo3iec3P3mBs6ss9
Culinario,Quintonil,"Conocido por su enfoque en ingredientes locales y técnicas modernas, es otro de los restaurantes más aclamados de la ciudad.","Av. Isaac Newton 55, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",https://goo.gl/maps/SbNcHtFqYXMzHFh69
Culinario,El Cardenal,"Un lugar icónico para probar la auténtica comida mexicana, incluyendo desayunos tradicionales.","Av. Del Parque 36, Nápoles, Benito Juárez, 03810 Ciudad de México, CDMX",https://goo.gl/maps/KasVYCnNM4ZMRk7z6
Culinario,Dulce Patria, Ofrece una interpretación moderna de la cocina mexicana en un ambiente colorido y festivo.,"Anatole France 100, Polanco, Polanco III Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",https://goo.gl/maps/DEt3nvz7ta2jZvga6
Culinario,Contramar,"Famoso por su pescado a la talla y otros mariscos frescos, es una opción popular para el almuerzo.","Calle de Durango 200, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/Kce1kQJhwSmay4YG8
Culinario,La Docena,Conocido por sus ostras y otros mariscos en un ambiente relajado y amigable.,"Av. Álvaro Obregón 31, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/n4NPrGyPuZyzhnLf8
Culinario,Máximo Bistrot,Ofrece una mezcla de cocina mexicana y francesa con un enfoque en ingredientes locales y de temporada.,"Av. Álvaro Obregón 65 Bis, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/SAW2EHJEJNtsGNMUA
Culinario,Azul Histórico,"Ubicado en el centro histórico, es un lugar encantador para disfrutar de la cocina mexicana en un ambiente único.","Isabel La Católica 30, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",https://goo.gl/maps/w7HYKrenPsqLS81b7
Vida nocturna,Supra Roma Rooftop,"Popular bar en la azotea con vistas panorámicas, cócteles creativos y ambiente contemporáneo.","Av. Álvaro Obregón 151, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/96Qu5XWub1if9MFn7
Vida nocturna,Janis Joplin,Un lugar popular para música en vivo y DJs.,"Av. Paseo de las Palmas 555, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX",https://goo.gl/maps/y5hBdUytg9Cjnd179
Vida nocturna,M.N. Roy,"Creación de los arquitectos Emmanuel Picault y Ludwig Godefroy contrasta con la descuidada fachada exterior. Un pasillo claroscuro, con paredes de piedra volcánica grabadas con arte puuc te llevarán al cuarto principal. ","Merida 186, Roma Nte., Cuauhtémoc, 06700 Ciudad Cuauhtémoc, CDMX",https://goo.gl/maps/rtR7mX7qfwERZ3a16
Bares,Hanky Panky, Un bar speakeasy secreto famoso por sus cócteles personalizados.,"Turín 52, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX",https://goo.gl/maps/uRJm4DBcmZkeAhrC8
Bares,La Clandestina,"Si quieres probar mezcal, este es un gran lugar para hacerlo.","Av. Álvaro Obregón 298, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX",https://goo.gl/maps/PRfZTXVYSwz5dHNH9
Bares,Pulquería Los Insurgentes,"Para una experiencia más tradicional, prueba el pulque, una bebida fermentada, en este lugar animado.","Av. Insurgentes Sur 226, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/AgSzXVEupD4nqMzu7